metadata_id,n_plots,n_locations,years,richness_median,strata,owner
md022,181,2,2022-2025,3.0,counts,"Lopatin, J."
md020,127,1,2019-2025,6.0,counts,"Galleguillos, M."
md019,101,38,2014-2014,4.0,cover,"Altamirano, A."
md004,92,5,2010-2010,2.0,cover,"Miranda, A."
md006,89,14,2020-2020,1.0,cover,"Dobbs, C. & Miranda, M.D."
md021,62,15,2022-2022,5.0,counts,"Craven, D."
md023,60,1,2022-2022,27.0,counts,"Becerra, P.I."
md015,57,48,2013-2013,13.0,cover,"Zamorano-Elgueta, C."
md025,49,6,2026-2026,5.0,counts,"Ovalle, J.F."
md009,47,1,2019-2019,11.0,cover,"Ovalle, J.F."
md003,39,1,2013-2013,17.0,cover,"Galleguillos, M."
md008,37,4,2021-2021,5.0,cover,"Ovalle, J.F."
md002,30,1,2012-2012,7.0,cover,"Galleguillos, M."
NA,21,1,2003-2012,22.0,"basal,cover",sPlot
md005,21,10,2017-2017,4.0,cover,"Miranda, A."
md007,15,15,2021-2021,5.0,cover,"Morales, N.S."
md011,11,1,2017-2017,5.0,presence,"Ovalle, J.F."
md013,11,1,2019-2019,6.0,presence,"Ovalle, J.F."
md014,11,1,2022-2022,5.0,presence,"Ovalle, J.F."
md018,9,9,2019-2019,3.0,presence,"Venegas-González, A."
md010,8,1,2021-2021,4.0,presence,"Ovalle, J.F."
md012,3,1,2018-2018,8.0,presence,"Ovalle, J.F."
md016,1,1,2019-2019,4.0,presence,"Venegas-González, A."
